name,service,activity_markdown,link_url,color_logo_url,white_logo_url,is_active,footer,psf_sponsor,infra_sponsor,one_time,sidebar
Adafruit,,Adafruit is a participating sponsor of the Python Software Foundation.,https://www.adafruit.com/circuitpython,https://storage.googleapis.com/pypi-assets/sponsorlogos/adafruit-color-logo-JDBhK7TA.png,,t,f,t,f,f,f
Adimian.be SPRL,,Adimian.be SPRL is a participating sponsor of the Python Software Foundation.,https://www.adimian.com/,https://storage.googleapis.com/pypi-assets/sponsorlogos/adimian-be-sprl-color-logo-OZy1Thzt.png,,t,f,t,f,f,f
Caktus Group,,Caktus Group is a partner sponsor of the Python Software Foundation.,https://www.caktusgroup.com/?utm_source=psf&amp;utm_medium=sponsor&amp;utm_campaign=caktus,https://storage.googleapis.com/pypi-assets/sponsorlogos/caktus-group-color-logo-wBrCQdjF.png,,t,f,t,f,f,f
Capital One,,Capital One is a maintaining sponsor of the Python Software Foundation.,https://www.capitalone.com/tech/,https://storage.googleapis.com/pypi-assets/sponsorlogos/capital-one-color-logo-MzyYZC_Z.png,,t,f,t,f,f,t
CircleCI,,CircleCI is a supporting sponsor of the Python Software Foundation.,http://www.circleci.com,https://storage.googleapis.com/pypi-assets/sponsorlogos/circleci-color-logo-SCDBNtqT.png,,t,f,t,f,f,f
DigiCert,EV certificate,PyPI uses Digicert to secure communication and prove identity with an EV Certificate.,https://www.digicert.com/,https://storage.googleapis.com/pypi-assets/sponsorlogos/digicert-color-logo-Cc5zUp0p.png,https://storage.googleapis.com/pypi-assets/sponsorlogos/digicert-white-logo-bRtE4d-C.png,t,f,f,t,f,f
Cockroach Labs,,Cockroach Labs is a contributing sponsor of the Python Software Foundation.,http://www.cockroachlabs.com/,https://storage.googleapis.com/pypi-assets/sponsorlogos/cockroach-labs-color-logo-OzhCaslQ.png,https://storage.googleapis.com/pypi-assets/sponsorlogos/cockroach-labs-white-logo-JC6h9e_O.png,t,f,t,f,f,t
Chan Zuckerberg Initiative,,Chan Zuckerberg Initiative is a supporting sponsor of the Python Software Foundation.,https://chanzuckerberg.com/,https://storage.googleapis.com/pypi-assets/sponsorlogos/chan-zuckerberg-initiative-color-logo-smpclr1C.png,,t,f,t,f,f,f
Huawei,,Huawei is a sustainability sponsor of the Python Software Foundation.,https://www.huawei.com/,https://storage.googleapis.com/pypi-assets/sponsorlogos/huawei-color-logo-Rznq6ItM.png,,t,f,t,f,f,t
Blackfire.io,,Blackfire.io is a supporting sponsor of the Python Software Foundation.,https://www.blackfire.io/python,https://storage.googleapis.com/pypi-assets/sponsorlogos/blackfire-io-color-logo-kCOJwn_Y.png,,t,f,t,f,f,f
Bloomberg,,Bloomberg is a visionary sponsor of the Python Software Foundation.,https://www.techatbloomberg.com/,https://pypi.org/static/images/sponsors/color/bloomberg.png,https://storage.googleapis.com/pypi-assets/sponsorlogos/bloomberg-white-logo-9j_a1jaq.png,t,f,t,f,f,t
Corning,,Corning is a maintaining sponsor of the Python Software Foundation.,https://www.corning.com/,https://storage.googleapis.com/pypi-assets/sponsorlogos/corning-color-logo-S5olmipc.png,https://storage.googleapis.com/pypi-assets/sponsorlogos/corning-white-logo-_43wG1P7.png,t,f,t,f,f,t
Cuttlesoft,,Cuttlesoft is a partner sponsor of the Python Software Foundation.,https://cuttlesoft.com,https://storage.googleapis.com/pypi-assets/sponsorlogos/cuttlesoft-color-logo-sVxxYttP.png,,t,f,t,f,f,f
JetBrains,,JetBrains is a supporting sponsor of the Python Software Foundation.,https://www.jetbrains.com/pycharm,https://storage.googleapis.com/pypi-assets/sponsorlogos/jetbrains-color-logo-18v8Sij0.png,,t,f,t,f,f,f
LinkedIn,,LinkedIn is a supporting sponsor of the Python Software Foundation.,https://www.linkedin.com,https://storage.googleapis.com/pypi-assets/sponsorlogos/linkedin-color-logo-C995BzFp.png,,t,f,t,f,f,f
Mattermost,,Mattermost is a partner sponsor of the Python Software Foundation.,http://mattermost.com,https://storage.googleapis.com/pypi-assets/sponsorlogos/mattermost-color-logo-bpBHSexQ.png,,t,f,t,f,f,f
Pingdom,Monitoring,PyPI's infrastructure volunteers use Pingdom to monitor and receive alerts about downtime and other issues affecting end-users.,https://www.pingdom.com/,https://storage.googleapis.com/pypi-assets/sponsorlogos/pingdom-color-logo-x-ZQCojg.png,https://storage.googleapis.com/pypi-assets/sponsorlogos/pingdom-white-logo-g5X1TuF6.png,t,f,f,t,f,f
Mozilla,,"In late 2017 the Python Software Foundation was awarded a Mozilla Open Source Support (MOSS) award.

This award was used to move PyPI from its legacy codebase and deploy Warehouse - the new codebase powering PyPI.",https://www.mozilla.org,https://storage.googleapis.com/pypi-assets/sponsorlogos/mozilla-color-logo-aMh4U34w.png,,t,f,f,f,t,f
Netflix,,Netflix is a partner sponsor of the Python Software Foundation.,https://about.netflix.com/,https://storage.googleapis.com/pypi-assets/sponsorlogos/netflix-color-logo-U9HJMS8W.png,,t,f,t,f,f,f
OpenEDG Python Institute,,OpenEDG Python Institute is a supporting sponsor of the Python Software Foundation.,https://pythoninstitute.org/,https://storage.googleapis.com/pypi-assets/sponsorlogos/openedg-python-institute-color-logo-atIwUwdK.png,,t,f,t,f,f,f
Open Technology Fund,,"In 2019 the Python Software Foundation was awarded a contract through the OTF Core Infrastructure Fund.

This contract included an audit and improvements to the accessibility of PyPI, internationalization and translations for PyPI user interface, and security features including two-factor authentication and API tokens for uploads.",https://www.opentech.fund,https://storage.googleapis.com/pypi-assets/sponsorlogos/open-technology-fund-color-logo-tPC8eg1y.png,,t,f,f,f,t,f
Python Academy,,Python Academy is a participating sponsor of the Python Software Foundation.,https://www.python-academy.com/,https://storage.googleapis.com/pypi-assets/sponsorlogos/python-academy-color-logo-IPvBKy_1.png,,t,f,t,f,f,f
Real Python,,Real Python is a participating sponsor of the Python Software Foundation.,https://realpython.com/,https://storage.googleapis.com/pypi-assets/sponsorlogos/real-python-color-logo-sWrk1UZ0.png,,t,f,t,f,f,f
Red Hat,,Red Hat is a contributing sponsor of the Python Software Foundation.,https://www.redhat.com/en,https://storage.googleapis.com/pypi-assets/sponsorlogos/red-hat-color-logo-Fc_zk0Xg.png,,t,f,t,f,f,t
Reuven Lerner — Python training,,Reuven Lerner is a partner sponsor of the Python Software Foundation.,https://lerner.co.il,https://storage.googleapis.com/pypi-assets/sponsorlogos/reuven-lerner-python-training-color-logo-0SzFOaeI.png,,t,f,t,f,f,f
Saleor,,Saleor is a partner sponsor of the Python Software Foundation.,http://saleor.io/,https://storage.googleapis.com/pypi-assets/sponsorlogos/saleor-color-logo-HI5-JKT-.png,,t,f,t,f,f,f
Scout APM,,Scout APM is a partner sponsor of the Python Software Foundation.,https://ter.li/jjv5k0,https://storage.googleapis.com/pypi-assets/sponsorlogos/scout-apm-color-logo-5Wy-dfVC.png,,t,f,t,f,f,f
Slack,,Slack is a maintaining sponsor of the Python Software Foundation.,https://slack.com,https://storage.googleapis.com/pypi-assets/sponsorlogos/slack-color-logo-K8koyFLJ.png,,t,f,t,f,f,t
Datadog,Monitoring,"PyPI uses Datadog to collect metrics from the applications, services, and infrastructure behind the scenes allowing for the team to measure the impact of new changes, monitor for problems, and alert when systems fail.",https://www.datadoghq.com/,https://storage.googleapis.com/pypi-assets/sponsorlogos/datadog-color-logo-qaecwJgr.png,https://storage.googleapis.com/pypi-assets/sponsorlogos/datadog-white-logo-fhdLNflo.png,t,f,f,t,f,f
